Database,Table,Field,DataType,Key,NullValues,AutoIncrement,ReferenceFields,Description
OmniSeqKnowledgebase2,Author,surname,varchar(250),,N,N,,
OmniSeqKnowledgebase2,Author,firstInitial,varchar(100),,N,N,,
OmniSeqKnowledgebase2,Author,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,Journal,name,varchar(250),,N,N,,
OmniSeqKnowledgebase2,Journal,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,LiteratureReference,PMID,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,DOI,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,title,varchar(1000),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,Journal_graph_id,varchar(100),Foreign,Y,N,journals.graph_id,
OmniSeqKnowledgebase2,LiteratureReference,volume,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,firstPage,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,lastPage,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,publicationYear,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,shortReference,varchar(200),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,abstract,varchar(8000),,Y,N,,
OmniSeqKnowledgebase2,LiteratureReference,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,LiteratureReference_Author,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,LiteratureReference_Author,Author_graph_id,varchar(100),Foreign,Y,N,authors.graph_id,
OmniSeqKnowledgebase2,LiteratureReference_Author,LiteratureReference_graph_id,varchar(100),Foreign,Y,N,refs.graph_id,
OmniSeqKnowledgebase2,InternetReference,accessedDate,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,InternetReference,webAddress,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,InternetReference,shortReference,varchar(200),,y,N,,
OmniSeqKnowledgebase2,InternetReference,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,User,name,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,User,password,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,User,isAdmin,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,User,graph_id,varchar(100),Primary,Y,N,,
OmniSeqKnowledgebase2,EditableStatement,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableStatement,statement,varchar(8000),,N,N,,
OmniSeqKnowledgebase2,EditableStatement,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableStatement,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableStatement,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableStatement_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableStatement_LiteratureReference,EditableStatement_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,EditableStatement_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,refs.graph_id,
OmniSeqKnowledgebase2,EditableStatement_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableStatement_InternetReference,EditableStatement_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,EditableStatement_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,internet_refs.graph_id,
OmniSeqKnowledgebase2,JaxGene,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,JaxGene,canonicalTranscript,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,JaxGene,chromosome,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,JaxGene,entrezId,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,JaxGene,jaxId,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,JaxGene,description_graph_id,varchar(50),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,JaxGene,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,JaxGene_Synonym,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,JaxGene_Synonym,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,JaxGene_Synonym,JaxGene_graph_id,varchar(100),Foreign,N,N,jaxGene.graph_id,
OmniSeqKnowledgebase2,MyGeneInfoGene,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,chromosome,varchar(20),,Y,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,strand,varchar(10),,Y,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,startPos,varchar(10),,Y,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,endPos,varchar(10),,Y,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,entrezId,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,MyGeneInfoGene,description_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,MyGeneInfoGene,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,UniprotEntry,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,UniprotEntry,accessionNumber,varchar(100),,N,N,,
OmniSeqKnowledgebase2,UniprotEntry,uniprotId,varchar(100),,N,N,,
OmniSeqKnowledgebase2,UniprotEntry,function_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,UniprotEntry,gene_graph_id,varchar(100),Foreign,Y,N,myGeneInfoGene.graph_id,
OmniSeqKnowledgebase2,UniprotEntry,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,OmniGene,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,OmniGene,panelName,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,OmniGene,geneDescription_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,OmniGene,oncogenicCategory_graph_id,varchar(100),Foreign,N,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,OmniGene,synonymsString_graph_id,varchar(100),Foreign,,N,editableStatements.graph_id,
OmniSeqKnowledgebase2,OmniGene,MyGeneInfoGene_graph_id,varchar(100),Foreign,N,N,myGeneInfoGene.graph_id,
OmniSeqKnowledgebase2,OmniGene,JaxGene_graph_id,varchar(100),Foreign,Y,N,jaxGene.graph_id,
OmniSeqKnowledgebase2,OmniGene,UniprotEntry_graph_Id,varchar(100),Foreign,Y,N,uniprotEntry.graph_id,
OmniSeqKnowledgebase2,OmniGene,graph_id,varchar(100),Primary,N,N,,
